Time,Phase,Sensor Number,Temperature,Pressure,Humidity,Gas
2024-03-25 12:15:56 (UTC),2,1,24.4,6.99,3.56,9.36
2024-03-25 12:15:57 (UTC),2,1,23.84,2.77,5.82,3.22
2024-03-25 12:15:58 (UTC),2,1,21.06,6.86,3.79,0.35
2024-03-25 12:15:59 (UTC),2,1,23.09,2.8,4.24,2.35
2024-03-25 12:16:00 (UTC),2,1,20.46,1.13,6.27,8.66
2024-03-25 12:16:01 (UTC),2,1,24.24,4.82,9.32,8.12
2024-03-25 12:16:02 (UTC),2,1,20.93,5.64,7.57,4.65
2024-03-25 12:16:03 (UTC),2,1,21.08,7.2,0.97,9.76
2024-03-25 12:16:04 (UTC),2,1,21.6,8.46,4.06,6.89
2024-03-25 12:16:05 (UTC),2,1,20.71,7.03,4.23,8.74
2024-04-08 11:03:31 (UTC),2,1,23.06,7.02,1.85,8.43
2024-04-08 11:03:32 (UTC),2,1,20.39,8.72,3.49,0.37
2024-04-08 11:03:33 (UTC),2,1,20.59,7.5,8.78,1.85
2024-04-08 11:03:34 (UTC),2,1,22.95,8.7,0.65,7.01
2024-04-08 11:03:35 (UTC),2,1,23.36,3.23,3.52,6.65
2024-04-08 11:03:36 (UTC),2,1,21.01,8.6,7.88,0.74
2024-04-08 11:03:37 (UTC),2,1,23.56,2.46,5.05,4.57
2024-04-08 11:03:38 (UTC),2,1,24.57,6.34,8.82,0.96
2024-04-08 11:03:39 (UTC),2,1,20.39,5.75,7.07,2.41
2024-04-08 11:03:40 (UTC),2,1,20.81,1.53,3.71,8.65
