Time,Phase(1-5),V Line(V),P(W),I(A),V(V)
2024-04-12 15:51:11 (UTC),1,5,49.15,2.1,3.9
2024-04-12 15:51:10 (UTC),1,5,8.82,9.73,5.5
2024-04-12 15:51:09 (UTC),1,5,44.14,5.13,1.02
2024-04-12 15:51:08 (UTC),1,5,74.46,4.0,12.88
2024-04-12 15:51:07 (UTC),1,5,19.2,3.57,10.06
2024-04-12 15:51:06 (UTC),1,5,91.6,2.87,9.07
2024-04-12 15:51:05 (UTC),1,5,87.47,5.16,12.46
2024-04-12 15:51:04 (UTC),1,5,6.5,8.41,8.97
2024-04-12 15:51:03 (UTC),1,5,55.29,4.86,5.34
2024-04-12 15:51:12 (UTC),1,5,62.35,6.23,1.19
2024-04-12 15:52:02 (UTC),1,5,20.38,2.92,4.09
2024-04-12 15:52:03 (UTC),1,5,46.5,7.32,9.68
2024-04-12 15:52:04 (UTC),1,5,28.33,0.03,3.32
2024-04-12 15:52:05 (UTC),1,5,17.07,0.99,10.31
2024-04-12 15:52:06 (UTC),1,5,35.81,9.32,8.29
2024-04-12 15:52:07 (UTC),1,5,20.96,0.16,7.63
2024-04-12 15:52:08 (UTC),1,5,28.6,4.04,4.32
2024-04-12 15:52:09 (UTC),1,5,99.05,1.45,1.52
2024-04-12 15:52:10 (UTC),1,5,69.09,8.36,9.29
2024-04-12 15:52:11 (UTC),1,5,51.87,9.35,1.99
2024-04-12 15:52:49 (UTC),1,5,55.03,9.55,8.76
2024-04-12 15:52:50 (UTC),1,5,27.25,5.18,10.75
2024-04-12 15:52:51 (UTC),1,5,37.08,3.36,9.77
2024-04-12 15:52:52 (UTC),1,5,34.94,7.53,5.04
2024-04-12 15:52:54 (UTC),1,5,71.66,7.66,7.87
2024-04-12 15:52:53 (UTC),1,5,56.86,2.86,1.51
2024-04-12 15:52:55 (UTC),1,5,37.24,1.17,1.64
2024-04-12 15:52:56 (UTC),1,5,42.95,9.91,6.45
2024-04-12 15:52:57 (UTC),1,5,43.73,8.25,12.06
2024-04-12 15:52:58 (UTC),1,5,80.47,8.86,8.55
2024-04-12 15:54:13 (UTC),1,5,90.55,1.65,2.51
2024-04-12 15:54:15 (UTC),1,5,52.25,4.29,0.61
2024-04-12 15:54:16 (UTC),1,5,19.62,0.85,5.35
2024-04-12 15:54:17 (UTC),1,5,62.36,5.36,0.55
2024-04-12 15:54:18 (UTC),1,5,70.57,8.35,8.58
2024-04-12 15:54:19 (UTC),1,5,5.35,3.92,11.04
2024-04-12 15:54:20 (UTC),1,5,9.28,4.84,0.71
2024-04-12 15:54:21 (UTC),1,5,95.31,6.47,5.17
2024-04-12 15:54:22 (UTC),1,5,16.22,7.93,3.42
2024-04-12 15:54:23 (UTC),1,5,22.25,7.21,0.66
